Time,Replicates,Androgens,Enzalutamide,Relative_cell_proliferation
48h,B1,11OHT,2uM,1.689639434
72h,B1,11OHT,2uM,1.591054313
72h,B1,11OHT,2uM,1.539023277
72h,B1,11OHT,2uM,1.673208581
72h,B1,11OHT,2uM,1.74167047
72h,B1,11OHT,2uM,1.69237791
72h,B1,11OHT,2uM,1.618439069
96h,B1,11OHT,2uM,1.719762665
96h,B1,11OHT,2uM,1.656777727
96h,B1,11OHT,2uM,1.796439982
96h,B1,11OHT,2uM,1.938840712
96h,B1,11OHT,2uM,1.870378822
96h,B1,11OHT,2uM,1.892286627
0h,B2,11OHT,2uM,1.036024845
0h,B2,11OHT,2uM,1.155279503
0h,B2,11OHT,2uM,0.950310559
0h,B2,11OHT,2uM,1.00621118
0h,B2,11OHT,2uM,0.976397516
0h,B2,11OHT,2uM,0.875776398
24h,B2,11OHT,2uM,1.10310559
24h,B2,11OHT,2uM,1.285714286
24h,B2,11OHT,2uM,1.080745342
24h,B2,11OHT,2uM,1.077018634
24h,B2,11OHT,2uM,1.047204969
24h,B2,11OHT,2uM,1.106832298
48h,B2,11OHT,2uM,1.386335404
48h,B2,11OHT,2uM,1.591304348
48h,B2,11OHT,2uM,1.330434783
48h,B2,11OHT,2uM,1.300621118
48h,B2,11OHT,2uM,1.31552795
48h,B2,11OHT,2uM,1.378881988
72h,B2,11OHT,2uM,1.803726708
72h,B2,11OHT,2uM,1.963975155
72h,B2,11OHT,2uM,1.636024845
72h,B2,11OHT,2uM,1.677018634
72h,B2,11OHT,2uM,1.725465839
72h,B2,11OHT,2uM,1.785093168
96h,B2,11OHT,2uM,2.098136646
96h,B2,11OHT,2uM,2.306832298
96h,B2,11OHT,2uM,1.89689441
96h,B2,11OHT,2uM,2.127950311
96h,B2,11OHT,2uM,2.057142857
96h,B2,11OHT,2uM,2.086956522
0h,B3,11OHT,2uM,0.982820615
0h,B3,11OHT,2uM,0.982820615
0h,B3,11OHT,2uM,1.018777467
0h,B3,11OHT,2uM,0.925289652
0h,B3,11OHT,2uM,1.054734319
0h,B3,11OHT,2uM,1.035557331
24h,B3,11OHT,2uM,1.097882541
24h,B3,11OHT,2uM,1.155413504
24h,B3,11OHT,2uM,1.385537355
24h,B3,11OHT,2uM,1.318417899
24h,B3,11OHT,2uM,1.205753096
24h,B3,11OHT,2uM,1.227327207
48h,B3,11OHT,2uM,1.311226528
48h,B3,11OHT,2uM,1.488613664
48h,B3,11OHT,2uM,1.589292849
48h,B3,11OHT,2uM,1.514982022
48h,B3,11OHT,2uM,1.380743108
48h,B3,11OHT,2uM,1.392728726
72h,B3,11OHT,2uM,1.335197763
72h,B3,11OHT,2uM,1.435876948
72h,B3,11OHT,2uM,1.613264083
72h,B3,11OHT,2uM,1.459848182
72h,B3,11OHT,2uM,1.366360368
72h,B3,11OHT,2uM,1.325609269
96h,B3,11OHT,2uM,1.663603676
96h,B3,11OHT,2uM,1.663603676
96h,B3,11OHT,2uM,1.920095885
96h,B3,11OHT,2uM,1.735517379
96h,B3,11OHT,2uM,1.464642429
96h,B3,11OHT,2uM,1.488613664
