Relative_cell_proliferation,Androgens,Enzalutamide,Time,Replicates
1.045989305,VC,2uM,24h,B3
1.004278075,VC,2uM,24h,B3
0.988235294,VC,2uM,24h,B3
0.97540107,VC,2uM,24h,B3
1.183957219,11OHT,2uM,24h,B3
1.062032086,11OHT,2uM,24h,B3
1.167914439,11OHT,2uM,24h,B3
1.119786096,11OHT,2uM,24h,B3
1.062032086,11OHT,2uM,24h,B3
1.07486631,11OHT,2uM,24h,B3
1.086153846,VC,0uM,48h,B3
1.2,VC,0uM,48h,B3
1.147692308,VC,0uM,48h,B3
0.969230769,VC,0uM,48h,B3
0.873846154,VC,0uM,48h,B3
0.723076923,VC,0uM,48h,B3
1.707692308,11OHT,0uM,48h,B3
1.827692308,11OHT,0uM,48h,B3
1.726153846,11OHT,0uM,48h,B3
1.68,11OHT,0uM,48h,B3
1.596923077,11OHT,0uM,48h,B3
1.56,11OHT,0uM,48h,B3
1.095384615,VC,2uM,48h,B3
1.132307692,VC,2uM,48h,B3
1.153846154,VC,2uM,48h,B3
1.107692308,VC,2uM,48h,B3
1.113846154,VC,2uM,48h,B3
0.975384615,VC,2uM,48h,B3
1.52,11OHT,2uM,48h,B3
1.636923077,11OHT,2uM,48h,B3
1.566153846,11OHT,2uM,48h,B3
1.375384615,11OHT,2uM,48h,B3
1.292307692,11OHT,2uM,48h,B3
1.347692308,11OHT,2uM,48h,B3
0.911847277,VC,0uM,96h,B3
0.969118473,VC,0uM,96h,B3
0.962380685,VC,0uM,96h,B3
1.073554183,VC,0uM,96h,B3
1.03649635,VC,0uM,96h,B3
1.046603032,VC,0uM,96h,B3
1.939359909,11OHT,0uM,96h,B3
1.902302076,11OHT,0uM,96h,B3
1.969679954,11OHT,0uM,96h,B3
2.138124648,11OHT,0uM,96h,B3
2.121280178,11OHT,0uM,96h,B3
2.229084782,11OHT,0uM,96h,B3
0.874789444,VC,2uM,96h,B3
0.975856261,VC,2uM,96h,B3
0.979225154,VC,2uM,96h,B3
1.056709714,VC,2uM,96h,B3
1.070185289,VC,2uM,96h,B3
0.999438518,VC,2uM,96h,B3
1.235261089,11OHT,2uM,96h,B3
1.134194273,11OHT,2uM,96h,B3
1.151038742,11OHT,2uM,96h,B3
1.130825379,11OHT,2uM,96h,B3
1.181358787,11OHT,2uM,96h,B3
1.177989893,11OHT,2uM,96h,B3
