Relative_cell_proliferation,Androgens,Enzalutamide,Time,Replicates
1.051160024,AD,0uM,24h,B2
0.961927424,AD,0uM,24h,B2
1.104699584,VC,2uM,24h,B2
1.051160024,VC,2uM,24h,B2
1.015466984,VC,2uM,24h,B2
1.079714456,VC,2uM,24h,B2
1.090422368,VC,2uM,24h,B2
1.040452112,VC,2uM,24h,B2
1.079714456,epiT,2uM,24h,B2
1.129684711,epiT,2uM,24h,B2
1.143961927,epiT,2uM,24h,B2
1.236763831,epiT,2uM,24h,B2
1.10113028,epiT,2uM,24h,B2
1.036882808,epiT,2uM,24h,B2
1.168947055,T,2uM,24h,B2
1.108268888,T,2uM,24h,B2
1.104699584,T,2uM,24h,B2
1.143961927,T,2uM,24h,B2
1.122546104,T,2uM,24h,B2
1.04759072,T,2uM,24h,B2
1.019036288,AD,2uM,24h,B2
1.036882808,AD,2uM,24h,B2
1.079714456,AD,2uM,24h,B2
1.086853064,AD,2uM,24h,B2
1.040452112,AD,2uM,24h,B2
0.990481856,AD,2uM,24h,B2
0.861016949,VC,0uM,48h,B2
0.93559322,VC,0uM,48h,B2
0.986440678,VC,0uM,48h,B2
1.030508475,VC,0uM,48h,B2
1.06440678,VC,0uM,48h,B2
1.122033898,VC,0uM,48h,B2
1.715254237,epiT,0uM,48h,B2
1.66440678,epiT,0uM,48h,B2
1.8,epiT,0uM,48h,B2
1.928813559,epiT,0uM,48h,B2
1.711864407,epiT,0uM,48h,B2
1.850847458,epiT,0uM,48h,B2
1.627118644,T,0uM,48h,B2
1.620338983,T,0uM,48h,B2
1.610169492,T,0uM,48h,B2
1.684745763,T,0uM,48h,B2
1.671186441,T,0uM,48h,B2
1.8,T,0uM,48h,B2
1.037288136,AD,0uM,48h,B2
1.122033898,AD,0uM,48h,B2
1.26440678,AD,0uM,48h,B2
1.311864407,AD,0uM,48h,B2
1.322033898,AD,0uM,48h,B2
1.247457627,AD,0uM,48h,B2
1.027118644,VC,2uM,48h,B2
1.077966102,VC,2uM,48h,B2
1.074576271,VC,2uM,48h,B2
1.152542373,VC,2uM,48h,B2
1.084745763,VC,2uM,48h,B2
0.976271186,VC,2uM,48h,B2
1.254237288,epiT,2uM,48h,B2
