Under_Curve_Area,Androgens,Time
45063.51,AT,0h
48089.83,AT,0h
45880.225,AT,0h
3779.92,AT,24h
3064.315,AT,24h
3178.145,AT,24h
0,AT,48h
0,AT,48h
0,AT,48h
0,AT,72h
0,AT,72h
0,AT,72h
0,epiAT,0h
0,epiAT,0h
0,epiAT,0h
40302.755,epiAT,24h
36812.315,epiAT,24h
34042.185,epiAT,24h
39148.935,epiAT,48h
43720.535,epiAT,48h
38678.27,epiAT,48h
39768.095,epiAT,72h
38407.785,epiAT,72h
37716.805,epiAT,72h
